Crossing Location Relative to Bus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,Behind,N/A,N/A,N/A,In Front,N/A,,N/A,,Behind,Behind,,N/A,,,,,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,,,,,,
Crossing Location Relative to Bus Stop,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,,Upstream,Downstream,Upstream,Upstream,Upstream,Upstream,Upstream,Downstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Downstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,,Upstream,Upstream,,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,At,At,,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,,Upstream,,Upstream,Upstream,,Upstream,,,,,,,Upstream,Upstream,Upstream,,,Upstream,Upstream,Upstream,Upstream,Upstream,,,,,,
Noteworthy Events,,,"crossed parallel to driving bus ","crossed parallel to driving bus ",,,"start crossing at cross walk, but crosses diagonally so finishes right of the crosswalk",,,,,,start crossing between cars  but crosses diagonally so finishes on crosswalk,,,,,,crossed two crosswalkes,,,,,,,,,,,,,,,,,,car had to stop to let the ped walk,walks in between 2 lanes of cars (and bus) and then return to the side he came from,,,,"ped dropped something ",,,,,,,,,,bus drove parallel to ped,,,,,,,,,,,,,,,,,,,,second part of crossing was not at crosswalk,ped ran because bus was almost there,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"vehcle traffic ",medium,medium,medium,medium,light,medium,medium,medium,medium,medium,medium,medium,medium,high,medium,medium,high,high,high,high,"high ","high ",low,medium,medium,high,high,high,high,medium,medium,"medium ",high,high,high,medium,medium,high,high,medium,high,"high ",high,high,medium,high,high,high,"high ",high,high,high,high,,high,medium,,high,high,high,"high ",high,"high ",high,high,high,high,,high,high,high,high,high,"high ",,high,,high,high,,high,,,,,,,,,,,,,,,,,,,,,,
General Reviewer Notes,,,,,,,,,start time = time arrives on screen on the road. end time = time dissapears from camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This person keeps soliciting,ped dissapears out of camera before reaching other side so end time = time out of sight,,,,,,,,,,,,,,,,,,,,"person was already crossing when appeared on camera, so start time = time appeared",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intention to Cross Timestamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intention to Cross Timestamp is not in PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
