Crossing End Time,3:00:27 PM,3:00:27 PM,3:00:50 PM,15:00:54 PM,3:00:53 PM,3:01:49 PM,,3:03:11 PM,3:03:13 PM,3:03:45 PM,,3:04:10 PM,3:04:10 PM,3:04:10 PM,3:04:07 PM,3:05:00 PM,3:05:00 PM,3:05:24 PM,3:05:30 PM,3:06:22 PM,3:06:22 PM,3:06:22 PM,3:06:26 PM,3:06:49 PM,3:08:45 PM,3:08:45 PM,3:08:35 PM,3:08:18 PM,3:12:42 PM,3:14:20 PM,3:15:23 PM,3:15:35 PM,3:15:34 PM,3:17:00 PM,3:16:23 PM,3:20:02 PM,3:19:58 PM,3:20:24 PM,3:20:24 PM,3:21:19 PM,3:23:12 PM,3:24:45 PM,3:25:12 PM,3:25:12 PM,3:26:53 PM,3:27:13 PM,3:27:59 PM,3:27:59 PM,3:28:41 PM,3:28:41 PM,3:29:38 PM,3:29:57 PM,3:31:24 PM,3:31:09 PM,3:32:39 PM,3:33:40 PM,3:34:09 PM,3:37:50 PM,3:38:33 PM,3:42:09 PM,3:44:54 PM,3:44:53 PM,3:44:54 PM,3:45:18 PM,3:46:40 PM,3:46:59 PM,3:47:00 PM,3:46:59 PM,3:47:05 PM,,,,,,,,,3:52:13 PM,,,4:08:53 PM,4:07:56 PM,4:10:43 PM,4:15:22 PM,,4:15:27 PM,,,,,4:28:01 PM,4:43:57 PM,4:43:49 PM,4:43:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Interaction Notes,Walk ,Walk,Walk,Walk,Walk,Courtesy Jog,,Walk,Walk,Walk,,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Courtesty Jog,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Courtesy Jog,Run,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Courtesy Jog,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,,,,,,,,,Walk,,,Walk,Walk,Walk,Walk,,Walk,,,,,Walk,Walk,Walk,Walk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Presence,No,No,No,No,No,Yes,,No,No,Yes,,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,,,,,,,,,No,,,Yes,No,No,No,,No,,,,,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Location Relative to Bus,N/A,N/A,N/A,N/A,N/A,Behind,,N/A,N/A,Upstream,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Downstream,Upstream,Upstream,Upstream,Upstream,,,,,,,,,N/A,,,Behind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Location Relative to Bus Stop,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,,Upstream,Upstream,Upstream,,At,At,At,At,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,At,At,Upstream,Upstream,Upstream,At,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,,,,,,,,,Downstream,,,At,Upstream,At,At,,At,,,,,At,Downstream,Downstream,Downstream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noteworthy Events,,,,,,,,,,,,"Group walks from middle of bus stop, changes direction slightly halfway (moves towards camera more) and finishes crossing between line of cars.",,,Jaywalks from the middle of the bus stop,,,,Stops in the middle of road for about a second,,,,Walks until he begins Courtesy Jog about halfway through road.,"Finishes crossing to the left of the crosswalk, not on it",Group walks halfway through crosswalk then turns to the right,,,,"Takes a step into the road at 3:12:28, then walks back onto the sidewalk to wait. Finishes crossing to the left of the sidewalk","Walks from middle of bus stop, car stops to let him pass","Comes from sidewalk across from bus stop, crosses stream of traffic. At 15:15:12, waits in front of stopped car, walks in front of next lane at 15:15:18",,,,"Crosses back to the other side of the road from bus stop, again cars stop to let him pass",,,,,,,,,,,,,,Group is dad and his child holding his hand,,,,,,,Doesn't wait for cars to stop,,,,Hops off of sidewalk into the crossing,"Seemed to be waiting for pedestrian phase, goes after the following couple go",In the way of truck turning right,,,Slowed down a lot right before finishing crossing,,Starts from the side of sidewalk,,,,,,,,,,,"Walks downstream from bus stop and crosses the road, going between a long line of cars ",,,Crosses road behind bus after getting off,Waves his hand towards oncoming bus ,,,,,,,,,"Car stops to let him pass, walks over to bus stop bench after crossing ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle Traffic,3,3,2,3,2,3,3,3,3,3,2,,2,2,2,2,2,,,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,3,3,2,2,3,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,,,1,2,2,2,,2,2,2,2,2,3,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Reviewer Notes,Video Lags from 3:00:19 to 3:00:20,Video Lags from 3:00:19 to 3:00:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"After reaching the bus stop, he doesn't go straight to the sidewalk, standing at the bus stop for a moment. Because of this I put his end time at the time he reaches halfway through the bus stop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Truck obscures the exact moment they step onto crosswalk,,,,,,,"~60th Pedestrian, Only Recording Bus-Users from Here","2 Buses arrive at the same time, I will denote Bus 1 or Bus 2 in noteworthy events",,,,,,,,"This bus user and the following 2 are very hard to distinguish, Only this one crosses the road, the others walk towards city hall.",,"18 Bus users, going onto the next hour of video ",,,"Finishes crossing behind a car, hard to tell exactly when crossing ends","Finishes crossing behind a car, hard to tell exactly when crossing ends",,"Finishes crossing behind a car, hard to tell exactly when crossing ends",,,,,,Very far from camera when crossing,,,"33rd bus user, done with scoring ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
